Year,DOY,hour,minute,Global Horiz [W/m^2]
2018,1,3,52,-3.3286
2018,1,3,53,-3.3286
2018,1,3,54,-3.4796
2018,1,3,55,-3.6984
2018,1,3,56,-3.6984
2018,1,3,57,-3.683
2018,1,3,58,-3.68
2018,1,3,59,-3.3718
2018,1,4,0,-3.3224
2018,1,4,1,-3.2454
2018,1,4,2,-2.9896
2018,1,4,3,-2.9588
2018,1,4,4,-3.0574
2018,1,4,5,-3.3101
2018,1,4,6,-3.0204
2018,1,4,7,-2.9187
2018,1,4,8,-2.6136
2018,1,4,9,-2.589
2018,1,4,10,-2.5859
2018,1,4,11,-2.589
2018,1,4,12,-2.589
2018,1,4,13,-2.589
2018,1,4,14,-2.589
2018,1,4,15,-2.5797
2018,1,4,16,-2.253
2018,1,4,17,-1.9202
2018,1,4,18,-1.8493
2018,1,4,19,-1.8493
2018,1,4,20,-1.8494
2018,1,4,21,-1.9912
2018,1,4,22,-2.21
2018,1,4,23,-2.2161
2018,1,4,24,-1.9018
2018,1,4,25,-1.8494
2018,1,4,26,-1.8494
2018,1,4,27,-1.8494
2018,1,4,28,-1.8494
2018,1,4,29,-1.8494
2018,1,4,30,-1.8494
2018,1,4,31,-1.8494
2018,1,4,32,-1.8495
2018,1,4,33,-1.8495
2018,1,4,34,-1.8495
2018,1,4,35,-1.8494
2018,1,4,36,-1.8494
2018,1,4,37,-1.8155
2018,1,4,38,-1.7755
2018,1,4,39,-1.8495
2018,1,4,40,-1.8495
2018,1,4,41,-1.8495
2018,1,4,42,-1.8495
2018,1,4,43,-1.8495
2018,1,4,44,-1.8526
2018,1,4,45,-1.8495
2018,1,4,46,-1.8495
2018,1,4,47,-1.8495
2018,1,4,48,-1.8495
2018,1,4,49,-1.8495
2018,1,4,50,-1.8495
2018,1,4,51,-1.8495
2018,1,4,52,-1.8495
2018,1,4,53,-1.8495
2018,1,4,54,-1.8495
2018,1,4,55,-1.8495
2018,1,4,56,-1.8496
2018,1,4,57,-1.8619
2018,1,4,58,-2.1486
2018,1,4,59,-2.2781
2018,1,5,0,-2.2565
2018,1,5,1,-2.1178
2018,1,5,2,-1.8557
2018,1,5,3,-1.8496
2018,1,5,4,-1.8496
2018,1,5,5,-1.8496
2018,1,5,6,-1.8496
2018,1,5,7,-1.8496
2018,1,5,8,-1.8496
2018,1,5,9,-1.8496
2018,1,5,10,-1.8496
2018,1,5,11,-1.8496
2018,1,5,12,-1.8465
2018,1,5,13,-1.8496
2018,1,5,14,-1.8496
2018,1,5,15,-1.8496
2018,1,5,16,-1.8497
2018,1,5,17,-1.8497
2018,1,5,18,-1.8527
2018,1,5,19,-2.0993
2018,1,5,20,-2.2196
2018,1,5,21,-2.3028
2018,1,5,22,-2.5895
2018,1,5,23,-2.7621
2018,1,5,24,-2.8392
2018,1,5,25,-2.6665
2018,1,5,26,-2.4816
2018,1,5,27,-2.2195
2018,1,5,28,-2.1363
2018,1,5,29,-2.2103
2018,1,5,30,-2.2257
2018,1,5,31,-2.4847
2018,1,5,32,-2.5895
2018,1,5,33,-2.6296
2018,1,5,34,-2.7128
2018,1,5,35,-2.5987
2018,1,5,36,-2.312
2018,1,5,37,-2.1117
2018,1,5,38,-1.8496
2018,1,5,39,-1.8496
2018,1,5,40,-1.8496
2018,1,5,41,-1.8496
2018,1,5,42,-1.8496
2018,1,5,43,-1.8496
2018,1,5,44,-1.8496
2018,1,5,45,-1.8805
2018,1,5,46,-2.1302
2018,1,5,47,-2.2196
2018,1,5,48,-2.2196
2018,1,5,49,-2.2196
2018,1,5,50,-2.2196
2018,1,5,51,-2.2196
2018,1,5,52,-2.2474
2018,1,5,53,-2.235
2018,1,5,54,-2.2196
2018,1,5,55,-2.161
2018,1,5,56,-1.9175
2018,1,5,57,-1.8496
2018,1,5,58,-1.8589
2018,1,5,59,-1.9298
2018,1,6,0,-1.9668
2018,1,6,1,-2.084
2018,1,6,2,-1.9977
2018,1,6,3,-1.8528
2018,1,6,4,-1.8497
2018,1,6,5,-1.6617
2018,1,6,6,-1.4798
2018,1,6,7,-1.4798
2018,1,6,8,-1.4798
2018,1,6,9,-1.6401
2018,1,6,10,-1.7203
2018,1,6,11,-1.4829
2018,1,6,12,-1.3072
2018,1,6,13,-1.1099
2018,1,6,14,-0.96807
2018,1,6,15,-0.77076
2018,1,6,16,-0.92491
2018,1,6,17,-1.0606
2018,1,6,18,-0.99583
2018,1,6,19,-0.77076
2018,1,6,20,-0.73994
2018,1,6,21,-0.73685
2018,1,6,22,-0.7276
2018,1,6,23,-0.73686
2018,1,6,24,-0.68444
2018,1,6,25,-0.56112
2018,1,6,26,-0.41313
2018,1,6,27,-0.36997
2018,1,6,28,-0.36997
2018,1,6,29,-0.36997
2018,1,6,30,-0.37922
2018,1,6,31,-0.4378
2018,1,6,32,-0.62277
2018,1,6,33,-0.73992
2018,1,6,34,-0.73992
2018,1,6,35,-0.77692
2018,1,6,36,-1.0236
2018,1,6,37,-1.0945
2018,1,6,38,-1.0482
2018,1,6,39,-0.87555
2018,1,6,40,-0.7399
2018,1,6,41,-0.74299
2018,1,6,42,-0.73991
2018,1,6,43,-0.73991
2018,1,6,44,-0.73992
2018,1,6,45,-0.73992
2018,1,6,46,-0.73683
2018,1,6,47,-0.71523
2018,1,6,48,-0.7214
2018,1,6,49,-0.73372
2018,1,6,50,-0.70903
2018,1,6,51,-0.71827
2018,1,6,52,-0.64429
2018,1,6,53,-0.42234
2018,1,6,54,-0.36994
2018,1,6,55,-0.36685
2018,1,6,56,-0.36375
2018,1,6,57,-0.35759
2018,1,6,58,-0.32676
2018,1,6,59,-0.04624
2018,1,7,0,0
2018,1,7,1,0.04624
2018,1,7,2,0.04932
2018,1,7,3,0.12638
2018,1,7,4,0.24968
2018,1,7,5,0.31749
2018,1,7,6,0.35448
2018,1,7,7,0.36988
2018,1,7,8,0.36988
2018,1,7,9,0.36988
2018,1,7,10,0.36988
2018,1,7,11,0.35754
2018,1,7,12,0.17569
2018,1,7,13,0.00308
2018,1,7,14,0
2018,1,7,15,0
2018,1,7,16,0
2018,1,7,17,-0.18493
2018,1,7,18,-0.36678
2018,1,7,19,-0.36986
2018,1,7,20,-0.36986
2018,1,7,21,-0.36986
2018,1,7,22,-0.36986
2018,1,7,23,-0.36986
2018,1,7,24,-0.36986
2018,1,7,25,-0.36985
2018,1,7,26,-0.30513
2018,1,7,27,-0.06164
2018,1,7,28,0
2018,1,7,29,0.02157
2018,1,7,30,0.28355
2018,1,7,31,0.36985
2018,1,7,32,0.41608
2018,1,7,33,0.70579
2018,1,7,34,0.83524
2018,1,7,35,1.091
2018,1,7,36,1.1095
2018,1,7,37,1.2143
2018,1,7,38,1.4424
2018,1,7,39,1.4794
2018,1,7,40,1.5996
2018,1,7,41,1.8554
2018,1,7,42,1.8492
2018,1,7,43,2.1605
2018,1,7,44,2.2376
2018,1,7,45,2.4163
2018,1,7,46,2.5673
2018,1,7,47,2.5889
2018,1,7,48,2.5889
2018,1,7,49,2.8447
2018,1,7,50,3.0666
2018,1,7,51,3.4981
2018,1,7,52,3.9234
2018,1,7,53,4.5367
2018,1,7,54,5.0853
2018,1,7,55,5.5076
2018,1,7,56,5.899
2018,1,7,57,6.2719
2018,1,7,58,6.6849
2018,1,7,59,7.1225
2018,1,8,0,7.4677
2018,1,8,1,7.7851
2018,1,8,2,8.0964
2018,1,8,3,8.1365
2018,1,8,4,8.4139
2018,1,8,5,8.608
2018,1,8,6,8.8669
2018,1,8,7,9.1381
2018,1,8,8,9.6281
2018,1,8,9,10.158
2018,1,8,10,10.479
2018,1,8,11,10.947
2018,1,8,12,11.302
2018,1,8,13,11.89
2018,1,8,14,12.457
2018,1,8,15,12.661
2018,1,8,16,12.883
2018,1,8,17,13.058
2018,1,8,18,13.542
2018,1,8,19,14.27
2018,1,8,20,14.92
2018,1,8,21,15.379
2018,1,8,22,15.53
2018,1,8,23,15.619
2018,1,8,24,16.199
2018,1,8,25,17.031
2018,1,8,26,17.798
2018,1,8,27,18.381
2018,1,8,28,18.701
2018,1,8,29,19.228
2018,1,8,30,19.78
2018,1,8,31,20.15
2018,1,8,32,20.686
2018,1,8,33,21.438
2018,1,8,34,22.193
2018,1,8,35,22.788
2018,1,8,36,22.93
2018,1,8,37,22.93
2018,1,8,38,22.914
2018,1,8,39,23.155
2018,1,8,40,23.5
2018,1,8,41,23.672
2018,1,8,42,23.669
2018,1,8,43,23.669
2018,1,8,44,23.731
2018,1,8,45,24.218
2018,1,8,46,24.905
2018,1,8,47,25.78
2018,1,8,48,26.459
2018,1,8,49,26.865
2018,1,8,50,27.553
2018,1,8,51,28.329
2018,1,8,52,29.05
2018,1,8,53,29.571
2018,1,8,54,29.482
2018,1,8,55,29.5
2018,1,8,56,29.913
2018,1,8,57,31.047
2018,1,8,58,32.444
2018,1,8,59,33.679
2018,1,9,0,34.29
2018,1,9,1,34.521
2018,1,9,2,34.894
2018,1,9,3,35.898
2018,1,9,4,37.538
2018,1,9,5,39.304
2018,1,9,6,40.204
2018,1,9,7,40.262
2018,1,9,8,40.052
2018,1,9,9,40.441
2018,1,9,10,41.005
2018,1,9,11,42.247
2018,1,9,12,44.333
2018,1,9,13,46.626
2018,1,9,14,48.121
2018,1,9,15,48.34
2018,1,9,16,47.769
2018,1,9,17,46.814
2018,1,9,18,46.204
2018,1,9,19,46.265
2018,1,9,20,46.684
2018,1,9,21,47.526
2018,1,9,22,48.86
2018,1,9,23,50.075
2018,1,9,24,50.934
2018,1,9,25,51.055
2018,1,9,26,50.978
2018,1,9,27,50.377
2018,1,9,28,49.671
2018,1,9,29,48.768
2018,1,9,30,47.982
2018,1,9,31,47.415
2018,1,9,32,47.467
2018,1,9,33,48.071
2018,1,9,34,48.863
2018,1,9,35,49.865
2018,1,9,36,51.073
2018,1,9,37,52.37
2018,1,9,38,53.227
2018,1,9,39,54.118
2018,1,9,40,55.662
2018,1,9,41,57.911
2018,1,9,42,60.365
2018,1,9,43,62.007
2018,1,9,44,64.09
2018,1,9,45,69.447
2018,1,9,46,77.709
2018,1,9,47,87.781
2018,1,9,48,96.934
2018,1,9,49,104.5
2018,1,9,50,108.63
2018,1,9,51,112.31
2018,1,9,52,116.06
2018,1,9,53,119.24
2018,1,9,54,121.74
2018,1,9,55,123.22
2018,1,9,56,124.03
2018,1,9,57,125.6
2018,1,9,58,129.93
2018,1,9,59,134.43
2018,1,10,0,137.67
2018,1,10,1,139.5
2018,1,10,2,140.1
2018,1,10,3,140.66
2018,1,10,4,141.71
2018,1,10,5,141.83
2018,1,10,6,140.55
2018,1,10,7,139.87
2018,1,10,8,141.13
2018,1,10,9,144.15
2018,1,10,10,147.54
2018,1,10,11,150.36
2018,1,10,12,152.93
2018,1,10,13,154.13
2018,1,10,14,155.55
2018,1,10,15,156.24
2018,1,10,16,155.84
2018,1,10,17,156.85
2018,1,10,18,157.61
2018,1,10,19,156.63
2018,1,10,20,156.94
2018,1,10,21,158.79
2018,1,10,22,161.1
2018,1,10,23,160.77
2018,1,10,24,158.99
2018,1,10,25,161.96
2018,1,10,26,165.14
2018,1,10,27,165.74
2018,1,10,28,164.59
2018,1,10,29,165.22
2018,1,10,30,169.84
2018,1,10,31,175.65
2018,1,10,32,178.41
2018,1,10,33,181.32
2018,1,10,34,184.16
2018,1,10,35,186.37
2018,1,10,36,185.4
2018,1,10,37,180.8
2018,1,10,38,174.18
2018,1,10,39,171.06
2018,1,10,40,171.12
2018,1,10,41,171.82
2018,1,10,42,170.89
2018,1,10,43,168.41
2018,1,10,44,167.26
2018,1,10,45,169.11
2018,1,10,46,171.1
2018,1,10,47,171.17
2018,1,10,48,170.07
2018,1,10,49,165.46
2018,1,10,50,161.45
2018,1,10,51,160.19
2018,1,10,52,159.89
2018,1,10,53,163.36
2018,1,10,54,166.24
2018,1,10,55,166.84
2018,1,10,56,168.31
2018,1,10,57,172.12
2018,1,10,58,177.42
2018,1,10,59,181.89
2018,1,11,0,185.2
2018,1,11,1,191.15
2018,1,11,2,216.61
2018,1,11,3,202.88
2018,1,11,4,193.15
2018,1,11,5,191.64
2018,1,11,6,192.12
2018,1,11,7,192.69
2018,1,11,8,192.93
2018,1,11,9,196.38
2018,1,11,10,202.36
2018,1,11,11,209.26
2018,1,11,12,213.6
2018,1,11,13,216.65
2018,1,11,14,223.14
2018,1,11,15,232.43
2018,1,11,16,246.63
2018,1,11,17,256.43
2018,1,11,18,273
2018,1,11,19,289.19
2018,1,11,20,290.67
2018,1,11,21,263.54
2018,1,11,22,239.49
2018,1,11,23,223.11
2018,1,11,24,214.6
2018,1,11,25,207.25
2018,1,11,26,202.16
2018,1,11,27,197.6
2018,1,11,28,192.87
2018,1,11,29,186.86
2018,1,11,30,179.15
2018,1,11,31,168.21
2018,1,11,32,157.91
2018,1,11,33,149.96
2018,1,11,34,145.4
2018,1,11,35,141.99
2018,1,11,36,138.73
2018,1,11,37,137.46
2018,1,11,38,138.25
2018,1,11,39,139.44
2018,1,11,40,140.34
2018,1,11,41,140.11
2018,1,11,42,139.93
2018,1,11,43,138.25
2018,1,11,44,135.08
2018,1,11,45,132.11
2018,1,11,46,132.02
2018,1,11,47,134.71
2018,1,11,48,138.51
2018,1,11,49,141.59
2018,1,11,50,142.07
2018,1,11,51,140.93
2018,1,11,52,139.66
2018,1,11,53,137.54
2018,1,11,54,134.84
2018,1,11,55,133.93
2018,1,11,56,136.42
2018,1,11,57,141.48
2018,1,11,58,147.32
2018,1,11,59,152.38
2018,1,12,0,156.05
2018,1,12,1,157.99
2018,1,12,2,159.18
2018,1,12,3,160.03
2018,1,12,4,159.42
2018,1,12,5,158.17
2018,1,12,6,160.62
2018,1,12,7,169.82
2018,1,12,8,181.15
2018,1,12,9,187.47
2018,1,12,10,187.15
2018,1,12,11,185
2018,1,12,12,187.87
2018,1,12,13,193.17
2018,1,12,14,194.22
2018,1,12,15,190.5
2018,1,12,16,187.24
2018,1,12,17,185.53
2018,1,12,18,186.79
2018,1,12,19,189.97
2018,1,12,20,192.82
2018,1,12,21,194.16
2018,1,12,22,195.9
2018,1,12,23,201.91
2018,1,12,24,209.63
2018,1,12,25,212.46
2018,1,12,26,212.8
2018,1,12,27,217.39
2018,1,12,28,225.56
2018,1,12,29,232.66
2018,1,12,30,238.27
2018,1,12,31,243.53
2018,1,12,32,243.55
2018,1,12,33,235.98
2018,1,12,34,227.93
2018,1,12,35,220.76
2018,1,12,36,213.84
2018,1,12,37,218.54
2018,1,12,38,227.21
2018,1,12,39,228.12
2018,1,12,40,231.93
2018,1,12,41,229.29
2018,1,12,42,218.9
2018,1,12,43,218.55
2018,1,12,44,219.14
2018,1,12,45,212.22
2018,1,12,46,208.46
2018,1,12,47,204.83
2018,1,12,48,202.18
2018,1,12,49,198.45
2018,1,12,50,189.69
2018,1,12,51,182.96
2018,1,12,52,179.45
2018,1,12,53,182.87
2018,1,12,54,189.2
2018,1,12,55,193.76
2018,1,12,56,198
2018,1,12,57,200.89
2018,1,12,58,201.43
2018,1,12,59,203.01
2018,1,13,0,204.88
2018,1,13,1,215.73
2018,1,13,2,234.21
2018,1,13,3,250.23
2018,1,13,4,265.25
2018,1,13,5,267.63
2018,1,13,6,278.46
2018,1,13,7,286.67
2018,1,13,8,322.69
2018,1,13,9,357.18
2018,1,13,10,289.76
2018,1,13,11,252.76
2018,1,13,12,280.12
2018,1,13,13,317.68
2018,1,13,14,273.32
2018,1,13,15,284.3
2018,1,13,16,316.37
