Year,DOY,hour,minute,Global Horiz [W/m^2]
2017,143,23,11,-1.0413
2017,143,23,12,-0.86875
2017,143,23,13,-0.83178
2017,143,23,14,-1.0135
2017,143,23,15,-0.9889
2017,143,23,16,-1.0289
2017,143,23,17,-0.97041
2017,143,23,18,-0.91804
2017,143,23,19,-0.92728
2017,143,23,20,-0.83486
2017,143,23,21,-0.8133
2017,143,23,22,-0.76709
2017,143,23,23,-0.74245
2017,143,23,24,-0.73936
2017,143,23,25,-0.73937
2017,143,23,26,-0.73937
2017,143,23,27,-0.74245
2017,143,23,28,-0.74861
2017,143,23,29,-0.74553
2017,143,23,30,-0.73937
2017,143,23,31,-0.73937
2017,143,23,32,-0.74553
2017,143,23,33,-0.75477
2017,143,23,34,-0.78558
2017,143,23,35,-0.8133
2017,143,23,36,-0.76401
2017,143,23,37,-0.77017
2017,143,23,38,-0.79482
2017,143,23,39,-0.85951
2017,143,23,40,-0.90264
2017,143,23,41,-0.76709
2017,143,23,42,-0.73937
2017,143,23,43,-0.73937
2017,143,23,44,-0.73937
2017,143,23,45,-0.73937
2017,143,23,46,-0.73937
2017,143,23,47,-0.72396
2017,143,23,48,-0.72705
2017,143,23,49,-0.73937
2017,143,23,50,-0.75169
2017,143,23,51,-0.75477
2017,143,23,52,-0.74245
2017,143,23,53,-0.74553
2017,143,23,54,-0.73937
2017,143,23,55,-0.69624
2017,143,23,56,-0.687
2017,143,23,57,-0.73321
2017,143,23,58,-0.64079
2017,143,23,59,-0.72397
2017,144,0,0,-0.72088
2017,144,0,1,-0.73937
2017,144,0,2,-0.73937
2017,144,0,3,-0.73937
2017,144,0,4,-0.73629
2017,144,0,5,-0.73321
2017,144,0,6,-0.72396
2017,144,0,7,-0.7332
2017,144,0,8,-0.72088
2017,144,0,9,-0.70548
2017,144,0,10,-0.7178
2017,144,0,11,-0.73937
2017,144,0,12,-0.81638
2017,144,0,13,-0.91497
2017,144,0,14,-0.94577
2017,144,0,15,-0.94886
2017,144,0,16,-0.90881
2017,144,0,17,-0.87184
2017,144,0,18,-0.86876
2017,144,0,19,-0.85952
2017,144,0,20,-0.88108
2017,144,0,21,-1.0998
2017,144,0,22,-1.106
2017,144,0,23,-1.1091
2017,144,0,24,-1.1091
2017,144,0,25,-1.0937
2017,144,0,26,-0.86568
2017,144,0,27,-0.75477
2017,144,0,28,-0.73937
2017,144,0,29,-0.73629
2017,144,0,30,-0.73937
2017,144,0,31,-0.73937
2017,144,0,32,-0.74245
2017,144,0,33,-0.77941
2017,144,0,34,-0.85335
2017,144,0,35,-0.98274
2017,144,0,36,-1.0967
2017,144,0,37,-1.0536
2017,144,0,38,-0.85335
2017,144,0,39,-0.73937
2017,144,0,40,-0.73937
2017,144,0,41,-0.73937
2017,144,0,42,-0.73937
2017,144,0,43,-0.73937
2017,144,0,44,-0.73937
2017,144,0,45,-0.73937
2017,144,0,46,-0.73937
2017,144,0,47,-0.73937
2017,144,0,48,-0.73321
2017,144,0,49,-0.69932
2017,144,0,50,-0.64695
2017,144,0,51,-0.62846
2017,144,0,52,-0.73937
2017,144,0,53,-0.73937
2017,144,0,54,-0.74245
2017,144,0,55,-0.75169
2017,144,0,56,-0.78866
2017,144,0,57,-1.0197
2017,144,0,58,-1.0135
2017,144,0,59,-1.0906
2017,144,1,0,-1.1029
2017,144,1,1,-1.0998
